板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股 简 称,B股上市日期,所属行业
主板,东莞宏远工业区股份有限公司,"DongGuan Winnerway Industrial Zone Co., Ltd.",000573,粤宏远Ａ,1994-08-15,,,,K 房地产
主板,江门甘蔗化工厂(集团)股份有限公司,"JIANGMEN SUGAR CANE CHEMICAL FACTORY（GROUP）CO.,LTD",000576,广东甘化,1994-09-07,,,,C 制造业
主板,无锡威孚高科技集团股份有限公司,"WEIFU HIGH-TECHNOLOGY GROUP CO.,LTD.",000581,威孚高科,1998-09-24,200581,苏威孚Ｂ,1995-09-11,C 制造业
主板,北部湾港股份有限公司,"Beibu Gulf Port Co., Ltd.",000582,北部湾港,1995-11-02,,,,G 运输仓储
主板,江苏哈工智能机器人股份有限公司,"JIANGSU HAGONG INTELLIGENT ROBOT CO.,LTD",000584,哈工智能,1995-11-28,,,,C 制造业
主板,东北电气发展股份有限公司,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,000585,*ST东电,1995-12-13,,,,C 制造业
主板,四川汇源光通信股份有限公司,"SICHUAN HUIYUAN OPTICAL COMMUNICATIONS CO.,LTD.",000586,汇源通信,1995-12-20,,,,C 制造业
主板,金洲慈航集团股份有限公司,"JINZHOU CIHANG GROUP CO., LTD",000587,*ST金洲,1996-04-25,,,,C 制造业
主板,贵州轮胎股份有限公司,"GUI ZHOU TYRE CO., LTD.",000589,贵州轮胎,1996-03-08,,,,C 制造业
主板,启迪古汉集团股份有限公司,"TUS-GUHAN GROUP CORP., LTD.",000590,启迪古汉,1996-01-19,,,,C 制造业
主板,中节能太阳能股份有限公司,"CECEP Solar Energy Co.,Ltd.",000591,太阳能,1996-02-08,,,,D 水电煤气
主板,中福海峡（平潭）发展股份有限公司,ZHONGFU STRAITS (PINGTAN) DEVELOPMENT COMPANY LIMITED,000592,平潭发展,1996-03-27,,,,A 农林牧渔
